class,class_number,class_priority,class_name_short,class_name,osm_tag
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,garden
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,park
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,golf_course
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,shrubbery
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,farmland
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,forest
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,greenhouse_horticulture
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,meadow
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,orchard
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,plant_nursery
1,1,5,Áreas cultivadas y/o manejadas,Áreas terrestres cultivadas y/o manejadas,vineyard
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,fell
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,grass
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,grassland
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,greenfield
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,heath
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,scrub
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,tundra
2,2,6,Areas naturales terrestres vegetadas,Áreas naturales y seminaturales de vegetación predominantemente terrestre,wood
3,3,4,Vegetación natural anegada/inundada o acuática,Vegetación natural o semi-natural de áreas regularmente inundadas/anegadas o acuáticas,march
3,3,4,Vegetación natural anegada/inundada o acuática,Vegetación natural o semi-natural de áreas regularmente inundadas/anegadas o acuáticas,shoal
3,3,4,Vegetación natural anegada/inundada o acuática,Vegetación natural o semi-natural de áreas regularmente inundadas/anegadas o acuáticas,tidal
3,3,4,Vegetación natural anegada/inundada o acuática,Vegetación natural o semi-natural de áreas regularmente inundadas/anegadas o acuáticas,wetland
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,common
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,allotments
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,brownfield
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,cemetery
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,commercial
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,construction
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,farmyard
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,harbour
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,industrial
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,landfill
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,lock
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,marina
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,pitch
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,playground
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,port
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,quarry
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,recreation_ground
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,railway
4,4,1,Superficies artificiales y áreas asociadas,Superficies artificiales y áreas asociadas,residential
